token_limit,priming,generic,n_runs,f1_mean,f1_ci_lo,f1_ci_hi,precision_mean,precision_ci_lo,precision_ci_hi,recall_mean,recall_ci_lo,recall_ci_hi,adjusted_f1_mean,adjusted_f1_ci_lo,adjusted_f1_ci_hi,adjusted_precision_mean,adjusted_precision_ci_lo,adjusted_precision_ci_hi,adjusted_recall_mean,adjusted_recall_ci_lo,adjusted_recall_ci_hi,method_f1_mean,method_f1_ci_lo,method_f1_ci_hi,method_precision_mean,method_precision_ci_lo,method_precision_ci_hi,method_recall_mean,method_recall_ci_lo,method_recall_ci_hi,method_coverage_mean,method_coverage_ci_lo,method_coverage_ci_hi,domain_f1_mean,domain_f1_ci_lo,domain_f1_ci_hi,domain_precision_mean,domain_precision_ci_lo,domain_precision_ci_hi,domain_recall_mean,domain_recall_ci_lo,domain_recall_ci_hi,domain_coverage_mean,domain_coverage_ci_lo,domain_coverage_ci_hi
250,False,False,24,0.3428335060128945,0.32676776733445717,0.35744208822111345,0.327080157951729,0.3022395596010736,0.3496904026019077,0.3673428186435559,0.35386344977437934,0.3810576096276435,0.5779576471815607,0.5436754683568968,0.617482201799409,0.5214754157369765,0.4914659364502762,0.5580443653051129,0.650388018805934,0.611879553330677,0.6934806811919002,0.35686049678226794,0.3401495407803549,0.3729288403130948,0.34510826220421364,0.3192785093719402,0.37021223714733886,0.37620696910696005,0.3622656924186129,0.39043636043767516,0.560468746160745,0.5279136245806137,0.5945361086208307,0.27024071148673895,0.2353729281754064,0.30275651251584434,0.25327070005393126,0.2102191639010939,0.2950417649473493,0.3383015564908947,0.3064577982270997,0.37661780853439863,0.5254128302038518,0.4434549322653038,0.6267646598112928
250,False,True,24,0.32931777764472203,0.3099098146034303,0.34920720148176904,0.29239189526314757,0.26656615062790845,0.31841918275475845,0.38483505512235433,0.3694365263398152,0.39930644104265367,0.6112469907187937,0.5882784393542498,0.6353494481492379,0.5341026470618522,0.5044859136914257,0.5649724992652894,0.7220489197895862,0.6953091391370497,0.7462890324319934,0.343512799630415,0.3240453644411955,0.3620503003744416,0.31132037273881374,0.28503086709529535,0.337161596184303,0.39109773324656216,0.3775899592522099,0.404691220265015,0.5945959135248996,0.5636833279339447,0.6238418388188608,0.255017591939191,0.21514586376502362,0.29438161539284957,0.21707705093005183,0.17112570958827017,0.26612373738016654,0.3694891275472864,0.3379019189416472,0.4034172369676339,0.6012075978716845,0.519832949593979,0.6926839171606974
250,True,False,24,0.3247752284570142,0.30813772885678686,0.34045686218142635,0.409915347701824,0.379496670712847,0.4360847283942624,0.2739991665441017,0.2594286210191604,0.28952998310032174,0.46976867195558003,0.4418182411925359,0.501211030677316,0.5319466010009147,0.5103058608806206,0.5561088097192078,0.42637133227290686,0.39161782062010897,0.46749006659342335,0.33851466941212793,0.324883464399926,0.3524442825426489,0.44095053741478557,0.41321736544414717,0.46428087415981417,0.2782149252157178,0.2642585620813681,0.29268601492642315,0.3652681185612203,0.34189952494280207,0.39002612831167155,0.25928357267405033,0.2227316737188135,0.29514678511647735,0.3099948188042226,0.25618661380937335,0.3637256605906844,0.28426426177467284,0.2393943376632805,0.3385685652654967,0.43603874510995255,0.3418939367878996,0.559941476351306
250,True,True,24,0.3372418901048264,0.3229490956633716,0.3533944349195881,0.35520484796286667,0.33095853363526523,0.37999661142862756,0.3261962867688469,0.31131821274576343,0.3418674861671894,0.5440743325674879,0.5165405638795972,0.5744911835839279,0.5358885063030909,0.50789829734713,0.564744784194905,0.5585865808805638,0.5222157197685829,0.597216041494371,0.34913450777567484,0.334717865821328,0.3655636877543512,0.3727838429080679,0.34814939060545985,0.3997367666381959,0.333050729315725,0.3191375505826267,0.34901307198338255,0.46813480999457197,0.43737036358477804,0.5057102062004527,0.2716614973912021,0.24421771619377142,0.2976967498909874,0.278179610040953,0.23793529741536143,0.31628651139134234,0.30698352383874034,0.2703198912660149,0.34850568762311634,0.4659894351148221,0.38136151234816096,0.5663792206675333
500,False,False,24,0.33441358525244164,0.3212439745464408,0.34773398244147785,0.3693836728372724,0.348546074688175,0.39069586283139174,0.30920961679156816,0.29528970640593144,0.32287165896052783,0.5178364298470971,0.4871275165487442,0.5531869234382162,0.5270217266022483,0.49786958552743127,0.5592757186305066,0.510905133924353,0.4757318675330237,0.5517357482188786,0.3452223361184286,0.32992365796637296,0.3602551163174275,0.38832740143394356,0.3655980026026733,0.4113546895778112,0.3145153079320836,0.3001727198493884,0.3297148928999735,0.43174958305690697,0.4080002728139701,0.4561527230073149,0.2658737199209736,0.21570135432454615,0.31409727924335223,0.28263793320972114,0.21813355598649717,0.34983738029202904,0.28631429789056395,0.23949763022391407,0.32947655868174514,0.4286801488272077,0.3356973690725626,0.5296580161038366
500,False,True,24,0.34356279428380504,0.32626408663330375,0.36006442732748667,0.35924217305235623,0.33276299221315336,0.38520878130510283,0.3339849181798886,0.3188187105852222,0.3486424344841624,0.5662387761980737,0.5399057400523789,0.5988567854999405,0.5545191266127375,0.5282813086369101,0.5882060968432844,0.5816405769513605,0.548830167969532,0.6165599087706691,0.35582117520723094,0.33979810443130076,0.37094659466147817,0.3784339152707255,0.35312551033850376,0.40321996570570456,0.33986538425189944,0.32609333665241824,0.35286649376686713,0.483124612235245,0.45780902368548093,0.5070366393105787,0.26714718162976175,0.21509307901446142,0.31888291552525433,0.27798718830259045,0.2085441767067796,0.3556599496897477,0.3012480454701817,0.2501639967789349,0.3480556786909342,0.4579149448189696,0.35901398019335323,0.5559946192724831
500,True,False,24,0.3049724072245564,0.29209764896925927,0.31729754037573915,0.42816362009691966,0.4032349582792699,0.45277325950762803,0.241179656023829,0.22784410606576014,0.25541547765694006,0.42035506490791175,0.3972791662029373,0.4495442100048276,0.5309150484756903,0.514440830045532,0.5493369921466873,0.35400370784447194,0.324758624053023,0.3921738465993019,0.3175540508653933,0.3053158905553893,0.32985964212711955,0.4575789807887614,0.4328375562535963,0.48229070140771785,0.24733383832959874,0.2339062899732354,0.2617016135016103,0.31115279669483425,0.2895931151442833,0.33308743799428664,0.25121609296733505,0.2173164965915783,0.2852169783107698,0.3116549823012671,0.26342643666318205,0.35926876699975574,0.24814932188502636,0.20227121303264406,0.30232494533261933,0.37444266116866737,0.2738460871988349,0.49596264865595363
500,True,True,24,0.31788062632036196,0.3008399740568767,0.33469575075324953,0.3920887534709419,0.3632680558897335,0.4201140279234608,0.273098034767204,0.2545480691227014,0.29252922710483664,0.4671364430936964,0.43989968766458554,0.49582073352976086,0.5211823383707211,0.5011621169727856,0.5417164529786624,0.4314215104696913,0.3931995233033477,0.4754022578073905,0.32303850373447385,0.3070680532750737,0.3395378118608207,0.4027047222042641,0.3711570320407506,0.4366466031048842,0.2762387196545998,0.25930121455116695,0.2928708889462871,0.36314642758020277,0.33264511201584895,0.39484657019456504,0.2840333629837318,0.24885770200000748,0.31903733742562573,0.34345945779622084,0.2896041210509321,0.3978867893525454,0.28091112424765835,0.23768068038293777,0.32785093022010386,0.4266536401907919,0.3315619608289887,0.5358792898206598
750,False,False,21,0.3380571936665257,0.3191828184471228,0.35404621251418683,0.4137711451387977,0.39157410698752615,0.43478400444660326,0.28793824021050796,0.26856116500587196,0.3050062827534335,0.4543093575296401,0.42439976994276457,0.4826548458425382,0.49160006082765306,0.46830254394953225,0.5143353965823929,0.42593665570203254,0.39040704996439507,0.45979174636919834,0.3465253076807508,0.327790767903213,0.3633172707755483,0.4283066956866567,0.4032776189436493,0.45117946939953213,0.2938444045064051,0.2738444576426533,0.31206460243601364,0.3931461500070522,0.36085375153849414,0.42376328960611354,0.29286165478491466,0.25652515970396894,0.3274250668402999,0.3396854315382666,0.2966699456684555,0.3855180490198522,0.2658238736620057,0.22897921991148135,0.29862101614644604,0.36502933337077526,0.30836100681633627,0.4254470811184655
750,False,True,23,0.3269764378121195,0.3105248597840714,0.3431752720108998,0.38667946956780264,0.3642335866030703,0.4089857222646101,0.286418436843773,0.2683592026586458,0.30335834751045815,0.4851473342224425,0.4482220015366485,0.5221988262600413,0.5258993039391239,0.4936755001114523,0.5594926989604898,0.4527698398416195,0.4118646635796545,0.49324884125054436,0.33944822834277355,0.3227955681176178,0.35492525725808327,0.40558677292399886,0.38425746365655966,0.4262842345354083,0.29475912712264923,0.27722833101594746,0.31265425899618354,0.3906124643013019,0.36253699032660697,0.42008056908794317,0.2715923446371689,0.23442572646402232,0.3142231248993599,0.31197195651156917,0.25736384414868263,0.37318281461321073,0.2668687148107462,0.22333967912093444,0.31369316278742626,0.3881556872107418,0.2970063878404839,0.49174600076491315
