entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
Multi-task network (MTN),0,MTN (Multi-task Network),87,0.9703943133354187
Pose estimation,1,Pose Estimation,19,1.0
Person re-identification (Re-ID),2,Person Re-ID,26,0.9219736456871033
Scale-normalized image and feature pyramids (SIFP),3,Scale-normalized image and feature pyramid (SIFP),27,0.9812367558479309
Scale-normalized image and feature pyramids (SIFP),3,Scale - normalized image pyramid and feature pyramid (SIFP),60,0.9602338075637817
Scale-normalized image and feature pyramids (SIFP),3,SIFP (Scale-normalized Image and Feature Pyramid),88,0.9133303165435791
Pose tracking,4,Pose Tracking,20,1.0000001192092896
Multi-person pose estimation,12,Multi-person pose tracking,32,0.8976296186447144
Top-down pose estimation methods,13,Top-down pose estimation,52,0.9169118404388428
Flow-based Pose Similarity,23,Flow-based pose similarity,53,1.0
Scale-normalized image and feature pyramid (SIFP),27,Scale - normalized image pyramid and feature pyramid (SIFP),60,0.9753861427307129
Scale-normalized image and feature pyramid (SIFP),27,SIFP (Scale-normalized Image and Feature Pyramid),88,0.9567607045173645
Pose flow,38,Pose Flow,51,0.9999999403953552
Fast R-CNN,40,Faster R-CNN,55,0.9073317050933838
Object detection,41,Object Detection,61,1.0
Scale - normalized image pyramid and feature pyramid (SIFP),60,SIFP (Scale-normalized Image and Feature Pyramid),88,0.9278818964958191
PoseTrack dataset,78,PoseTrack Dataset,86,1.0
Nodes: Pose estimation<==>Pose Estimation
The task of identifying the keypoints of a person's pose in an image or video.,0,"The task of identifying and locating keypoints (e.g., joints) on human figures within images or videos.",0,0.8586520552635193
"The process of identifying and locating keypoints (e.g., joints) in an image or video to determine the posture of a person or object.",1,"The task of identifying and locating keypoints (e.g., joints) on human figures within images or videos.",0,0.8885522484779358
Nodes: Person re-identification (Re-ID)<==>Person Re-ID
The task of identifying a person across different camera views or over time.,0,The task of re-identifying a person across different camera views or frames in a video.,0,0.8992493748664856
The task of identifying a person across different camera views or over time.,0,The task of re-identifying a person across different camera views or time instances.,2,0.9440160989761353
Nodes: Pose tracking<==>Pose Tracking
The task of tracking a person's pose over time in a video.,0,The task of tracking the movement of human poses over time in a video sequence.,0,0.9116204380989075
The task of tracking a person's pose over time in a video.,0,The objective of identifying and tracking the poses of individuals over time in video sequences.,1,0.894672155380249
The task of tracking the pose of a person over time.,1,The task of tracking the movement of human poses over time in a video sequence.,0,0.8518416285514832
The task of tracking the pose of a person over a sequence of frames.,2,The task of tracking the movement of human poses over time in a video sequence.,0,0.8668097257614136
Nodes: Multi-person pose estimation<==>Multi-person pose tracking
The task of estimating the poses of multiple people in an image or video.,0,The task of tracking the poses of multiple people in a video sequence.,0,0.8565210103988647
Nodes: Pose flow<==>Pose Flow
A method to construct pose flow and perform pose flow non maximum suppression (NMS) to eliminate issues like ID switches.,0,A method to construct pose flow and perform pose flow non maximum suppression (NMS).,0,0.9246736764907837
Nodes: Fast R-CNN<==>Faster R-CNN
A method that jointly predicts the class and the coordinates of objects in an image.,0,A method that jointly predicts the class and the coordinates of objects in an image.,0,1.0000001192092896
A method that jointly predicts the class and the coordinates of objects in an image.,1,A method that jointly predicts the class and the coordinates of objects in an image.,0,1.0000001192092896
Nodes: Object detection<==>Object Detection
A computer vision task that aims to identify and locate objects within an image or video.,0,The task of identifying and locating objects within an image or video.,0,0.918086051940918
Nodes: PoseTrack dataset<==>PoseTrack Dataset
A dataset used for training and evaluating pose estimation and tracking tasks.,0,A dataset used for evaluating pose estimation and tracking methods.,0,0.9259766340255737
