entity_1_name,entity_1_index,entity_2_name,entity_2_index,similarity_score
Object-Hypernym co-occurrences,5,Object-Hypernym Co-occurrence,11,0.9949294328689575
word embeddings,6,Word embedding,25,0.931735634803772
word embeddings,6,Word embeddings,47,1.0
word embeddings,6,word embedding,117,0.931735634803772
unsupervised clustering,7,Unsupervised clustering,15,1.0
supervised partitioning,8,Supervised partitioning,16,0.9999998807907104
Vis-w2v,22,vis-w2v,41,1.0
Random Vectors,23,Random vectors,100,1.000000238418579
GloVe-like embeddings,24,GloVe Embeddings,102,0.9445288181304932
GloVe-like embeddings,24,GloVe embeddings,104,0.9445288181304932
Word embedding,25,Word embeddings,47,0.931735634803772
Word embedding,25,word embedding,117,1.0
Multiple types of co-occurrences,31,Multiple Types of Co-occurrences,36,1.0
Multiple types of co-occurrences,31,Capturing different types of co-occurrences,62,0.9020862579345703
Multiple Types of Co-occurrences,36,Capturing different types of co-occurrences,62,0.9020862579345703
Word embeddings,47,word embedding,117,0.931735634803772
ViCo embeddings,52,ViCo Embeddings,123,1.000000238418579
word pair,56,Word pair,68,0.9999997615814209
word pair,56,Word Pairs,76,0.9450544118881226
Word pair,68,Word Pairs,76,0.9450544118881226
Synset pair,69,Synset Pairs,77,0.9681487679481506
Incrementing Xoa ij,73,Incrementing Xaa ij,74,0.884583592414856
Incrementing Xc ij,75,Incrementing X c ij,80,0.8885438442230225
Incrementing X oa ij,78,Incrementing X aa ij,79,0.8876341581344604
GloVe Embeddings,102,GloVe embeddings,104,1.000000238418579
Nodes: Object-Hypernym co-occurrences<==>Object-Hypernym Co-occurrence
The task of computing co-occurrences using ImageNet annotations augmented with WordNet hypernyms.,0,"A specific type of co-occurrence calculated using ImageNet annotations augmented with WordNet hypernyms, representing the relationship between objects and their hypernyms (more general terms).",0,0.8554925322532654
Nodes: Word embedding<==>Word embeddings
"A method for representing words as vectors in a continuous space, capturing semantic relationships.",0,"The task of representing words as vectors in a continuous space, capturing semantic relationships.",0,0.9614425897598267
Nodes: Incrementing Xoa ij<==>Incrementing Xaa ij
"The task of increasing the value of the variable Xoa ij by 1 for each word pair (i, j) in the set of object words (So) and the set of adjective words (Sa), and for all synset pairs (So, Sa) in the object synsets (O) and adjective synsets (A) within the VisualGenome dataset.",0,"The task of increasing the value of the variable Xaa ij by 1 for each word pair (i, j) in the set of adjective words (Sa1 and Sa2), and for all synset pairs (Sa1, Sa2) in the adjective synsets (A) within the VisualGenome dataset.",0,0.9504091739654541
Nodes: Incrementing X oa ij<==>Incrementing X aa ij
"The task of incrementing the count X oa ij by 1 for each word pair (i, j) in the set of words S o and S a, and for all synset pairs (S o, S a) in the sets O and A, respectively, for each region in VisualGenome.",0,"The task of incrementing the count X aa ij by 1 for each word pair (i, j) in the sets of words S a1 and S a2, and for all synset pairs (S a1, S a2) in the set A, for each region in VisualGenome.",0,0.9871944785118103
