source,n_nodes,n_edges,density,avg_degree,degree_gini,degree_entropy,n_components,giant_cc_ratio,avg_shortest_path_gcc,diameter_gcc,avg_clustering,assortativity,modularity,n_communities
2506.10974_graph,32,62,0.125,3.875,0.0,4.7137477439738955,3,0.59375,2.0584795321637426,4,0.6863906926406926,0.036641523292934984,0.5402372725927579,4
2506.22485_graph,27,78,0.2222222222222222,5.777777777777778,0.0,4.330735950700559,3,0.8148148148148148,1.826839826839827,4,0.5660923438701216,-0.17390962053219905,0.2121658862619629,4
2507.00914_graph,235,472,0.017166757592289507,4.017021276595744,0.0,7.296359980450967,30,0.4723404255319149,4.4522522522522525,9,0.36308207923351854,0.19943010786292703,0.8154475580112802,34
2505.17673_graph,43,79,0.08748615725359911,3.6744186046511627,0.0,4.936268143443519,4,0.813953488372093,2.665546218487395,5,0.40236675469233607,-0.3798795136193952,0.5424590253385705,8
2505.15047_graph,73,89,0.033866057838660577,2.4383561643835616,0.0,5.99850746762239,16,0.1506849315068493,2.3454545454545452,4,0.5210045662100456,-0.0758537322453902,0.8946951457684846,17
2505.00024_graph,38,60,0.08534850640113797,3.1578947368421053,0.0,4.79379688023472,2,0.8947368421052632,2.798573975044563,5,0.3651629072681704,-0.33844811505250166,0.6307881323817536,5
2504.13958_graph,94,185,0.04232441088995653,3.9361702127659575,0.0,5.930943479876524,5,0.776595744680851,3.9528158295281584,9,0.3764297168552488,-0.33121353617261673,0.6750978568829789,8
2506.09050_graph,211,480,0.021665538253215978,4.549763033175355,0.0,7.030373103842361,8,0.7156398104265402,5.812185430463576,16,0.30641837796958726,-0.2503147529258659,0.6791331155168234,14
2507.07906_graph,62,216,0.11422527763088314,6.967741935483871,0.0,5.22695135289874,9,0.5,1.6064516129032258,2,0.5966117555661493,-0.2817539240000853,0.3826144213647084,9
2504.13145_graph,54,120,0.08385744234800839,4.444444444444445,0.0,5.379516840580664,2,0.9444444444444444,4.2925490196078435,11,0.5289095980272451,-0.014223871366728333,0.5419589919494461,6
2505.22501_graph,42,69,0.08013937282229965,3.2857142857142856,0.0,5.177664018791071,6,0.40476190476190477,2.161764705882353,4,0.5272297808012093,0.3522660040231922,0.6946334015846805,8
2505.00753_graph,114,314,0.048750194069243906,5.508771929824562,0.0,6.177940662053247,16,0.49122807017543857,5.0811688311688314,12,0.26510049404786246,-0.3536605695308826,0.6348403588226923,17
2507.05257_graph,68,120,0.05267778753292362,3.5294117647058822,0.0,5.607898341218445,8,0.6911764705882353,3.322849213691027,8,0.3786100337570926,-0.21003800581265342,0.6866933036357098,10
2505.03049_graph,205,269,0.01286465805834529,2.624390243902439,0.0,7.198064606402714,25,0.424390243902439,4.278802459235498,8,0.3002472563304701,-0.255721405268939,0.8817208994361713,29
2507.13334_graph,353,600,0.00965748132886943,3.3994334277620397,0.0,7.727666382010839,42,0.4164305949008499,5.6403876619140805,14,0.23460758092858883,0.3658043485748477,0.8720886089339909,49
2505.00049_graph,111,176,0.02882882882882883,3.171171171171171,0.0,6.342228091841203,12,0.7207207207207207,4.427848101265822,10,0.2794590426943368,-0.24634222696073663,0.7871221624141865,17
2506.11763_graph,43,58,0.06423034330011074,2.697674418604651,0.0,5.105700182375629,5,0.5813953488372093,3.17,6,0.3184939091915836,-0.21412098634025173,0.6487557442717513,10
2505.02820_graph,67,110,0.04975124378109453,3.283582089552239,0.0,5.657150156128006,2,0.7761194029850746,3.9177978883861235,10,0.34027589326096785,0.013415653610240668,0.6242487858044186,7
2507.05723_graph,106,337,0.0605570530098832,6.3584905660377355,0.0,6.349209002903918,7,0.2830188679245283,3.567816091954023,7,0.583148193525552,0.7961892387523332,0.7760447128648551,8
2506.08800_graph,94,213,0.048730267673301304,4.531914893617022,0.0,6.094844356639278,4,0.8936170212765957,4.08491107286288,9,0.4130858503198929,-0.11508082292431988,0.6894460379527863,9
2506.20415_graph,90,151,0.03770287141073658,3.3555555555555556,0.0,6.107004655433074,8,0.5666666666666667,3.908235294117647,9,0.4665113281779948,0.13679399941611056,0.7781040893153383,12
2507.01717_graph,27,37,0.10541310541310542,2.740740740740741,0.0,4.569127987449839,3,0.6296296296296297,2.985294117647059,6,0.41366843033509704,-0.5601939700611429,0.7140156025836006,5
2507.01701_graph,56,153,0.09935064935064936,5.464285714285714,0.0,5.453866825402794,3,0.7678571428571429,3.2248062015503876,7,0.36956684188827044,-0.09604529631923851,0.6115747296231846,6
2505.16944_graph,90,181,0.04519350811485643,4.022222222222222,0.0,6.089387872793337,12,0.5111111111111111,3.085990338164251,7,0.5279812779812779,-0.09110689824289682,0.7190975015624228,15
2506.15567_graph,52,71,0.053544494720965306,2.730769230769231,0.0,5.459237482281776,10,0.19230769230769232,2.1777777777777776,4,0.4891025641025641,0.6424930918022714,0.8680564978297429,10
2506.21506_graph,78,131,0.043623043623043624,3.358974358974359,0.0,5.983024722396321,10,0.44871794871794873,3.384873949579832,8,0.532020757020757,-0.21691855793196446,0.7861767534508327,12
2506.18096_graph,120,230,0.03221288515406162,3.8333333333333335,0.0,6.314197082197723,20,0.11666666666666667,1.0,1,0.44747835497835503,0.7065416294301753,0.7783745650826805,20
2505.13909_graph,27,35,0.09971509971509972,2.5925925925925926,0.0,4.379602132444179,4,0.5185185185185185,2.197802197802198,4,0.3530864197530864,-0.24697043141056776,0.6174960229935685,5
2507.02197_graph,111,206,0.033742833742833746,3.7117117117117115,0.0,6.319997660609783,4,0.8018018018018018,4.625893769152196,11,0.41149631149631144,-0.23038437063815193,0.7323992672851302,8
2504.01990_graph,1152,1926,0.0029050825369244136,3.34375,0.0,9.615785191156164,103,0.6467013888888888,6.849696904091795,19,0.39625155905120346,-0.02216014114461272,0.8826685341144435,130
2507.01599_graph,49,72,0.061224489795918366,2.938775510204082,0.0,5.391681832877349,6,0.5102040816326531,3.13,7,0.393139853343935,-0.061113520882389895,0.7352764329814335,8
2507.14447_graph,60,95,0.05367231638418079,3.1666666666666665,0.0,5.665310031866633,5,0.75,4.216161616161616,10,0.48675084175084177,-0.16472761695370755,0.7525344325901581,9
2505.13388_graph,77,133,0.045454545454545456,3.4545454545454546,0.0,5.728086434159666,10,0.7272727272727273,3.6142857142857143,8,0.36691189307388894,-0.26469620522973614,0.690015924615699,14
2506.17188_graph,203,248,0.012095790859874165,2.4433497536945814,0.0,7.399794863131944,34,0.12807881773399016,3.9753846153846153,9,0.3440026585346782,-0.03585276785257362,0.9460624809792435,35
2505.20749_graph,63,99,0.05069124423963134,3.142857142857143,0.0,5.551949565515652,9,0.6190476190476191,3.3468286099865048,9,0.319432217331377,-0.08166192996569152,0.6198659010464759,12
2505.07773_graph,36,52,0.08253968253968254,2.888888888888889,0.0,4.659178185033592,8,0.5555555555555556,2.168421052631579,4,0.36520763187429856,0.010029717682020581,0.5554149080840894,10
2504.14520_graph,99,146,0.030096887239744383,2.9494949494949494,0.0,6.145464558277264,32,0.31313131313131315,2.804301075268817,6,0.3642135642135642,0.3167286757613342,0.8055018578559116,34
2505.13259_graph,112,249,0.04005791505791506,4.446428571428571,0.0,6.378831368809399,9,0.5267857142857143,3.5353594389246057,8,0.4838885834053901,-0.2522071906937649,0.7173079957660559,11
2504.20157_graph,45,97,0.09797979797979799,4.311111111111111,0.0,5.004715090840485,3,0.8,2.6904761904761907,5,0.5488171088171089,-0.1076267692730523,0.5194868232158469,6
2505.05177_graph,48,88,0.07801418439716312,3.6666666666666665,0.0,5.35774658322546,7,0.2916666666666667,1.8131868131868132,4,0.4262581168831168,-0.10049606005399614,0.7510853208453045,7
2507.06466_graph,119,241,0.03432559464463752,4.050420168067227,0.0,6.464088067288794,8,0.865546218487395,3.96097468113459,11,0.42301560940581767,-0.09978581263705451,0.6545820244301912,13
2505.20670_graph,37,128,0.1921921921921922,6.918918918918919,0.0,4.901934248902864,1,1.0,2.369369369369369,5,0.605985760397525,0.1274198152877544,0.3581088444617948,4
2504.09407_graph,100,141,0.028484848484848484,2.82,0.0,6.264737854808105,23,0.47,4.689176688251619,12,0.36828571428571427,-0.19653538785471622,0.8168198878763965,27
2504.20355_graph,22,59,0.2554112554112554,5.363636363636363,0.0,4.177058970762395,1,1.0,2.445887445887446,6,0.4527777777777777,0.2876338442158308,0.21771257993409873,3
2504.01931_graph,58,74,0.04476709013914096,2.5517241379310347,0.0,5.308811066867326,13,0.46551724137931033,2.3333333333333335,5,0.2928885347242345,0.004692479952425095,0.6092263927864623,15
2507.01594_graph,78,143,0.047619047619047616,3.6666666666666665,0.0,6.009302666551472,4,0.8589743589743589,5.033921302578019,12,0.21683964183964186,0.03509081290777678,0.6721421510502945,8
2504.09723_graph,52,100,0.07541478129713423,3.8461538461538463,0.0,5.325457597613119,5,0.5961538461538461,2.9075268817204303,7,0.5471905231520616,-0.12871287128712897,0.6553706666398768,7
2506.20670_graph,58,83,0.05021173623714459,2.8620689655172415,0.0,5.533315191809117,7,0.5,3.4704433497536944,9,0.4019567597153804,-0.14427860696517414,0.7633159164196394,11
2504.07357_graph,43,85,0.09413067552602436,3.953488372093023,0.0,5.146281894659166,7,0.37209302325581395,1.975,4,0.5896640826873385,0.04009843986362921,0.7075587371143677,8
2504.10918_graph,176,542,0.035194805194805195,6.159090909090909,0.0,6.749220937148229,10,0.8409090909090909,5.170251884537599,13,0.4753835444760067,-0.12738970857261497,0.664005206514515,15
2507.01413_graph,27,42,0.11965811965811966,3.111111111111111,0.0,4.410491372422549,5,0.5555555555555556,1.9714285714285715,4,0.36410934744268075,-0.03318596246629151,0.5100879248183147,6
2507.15865_graph,105,135,0.024725274725274724,2.5714285714285716,0.0,6.446669279287977,18,0.2761904761904762,3.0714285714285716,7,0.4078004535147392,0.23820766724366144,0.8691266294146683,20
2505.15734_graph,131,403,0.04732824427480916,6.152671755725191,0.0,6.314048148704624,14,0.648854961832061,2.8795518207282913,8,0.5039456591550253,0.2405713399476179,0.5045299999724357,20
2505.19443_graph,213,258,0.011427052883337762,2.4225352112676055,0.0,7.368895511057918,30,0.1784037558685446,4.142247510668564,9,0.2548736865638274,-0.2760312735972684,0.9177740223255346,35
2506.23978_graph,35,61,0.10252100840336134,3.4857142857142858,0.0,4.8637098888609005,6,0.42857142857142855,1.9428571428571428,3,0.6912698412698413,-0.10547925810562114,0.679202825134796,7
2505.07782_graph,336,410,0.00728500355366027,2.4404761904761907,0.0,7.39500074069093,99,0.46130952380952384,3.301633850020947,7,0.17070257730847624,-0.06802528374939824,0.7071390926074953,106
2507.00310_graph,119,137,0.019512889901723403,2.302521008403361,0.0,6.281829065582741,14,0.2689075630252101,1.9939516129032258,3,0.31047683441192564,-0.3183501913292321,0.8643241154378434,15
2507.02182_graph,76,133,0.04666666666666667,3.5,0.0,5.739661869622726,5,0.881578947368421,3.863410221619177,9,0.4388218019796967,-0.27939024641903654,0.617553277131451,10
2504.15228_graph,51,59,0.04627450980392157,2.3137254901960786,0.0,5.361480236449052,10,0.29411764705882354,2.380952380952381,4,0.274400871459695,-0.3154672395273898,0.8059227371327157,12
